id,color,outline,name,style_url,coordinates,name2,value,radius,coordinates5,coordinates6,created_at,updated_at,type,address,street,city,state,country,coords,contact_person,contact_phone,contact_email,operating_hours,capacity,notes,facilities
21,null,null,Orange Farm3 - HIGH RISK AREA,#Style634852,"27.829571,-26.497769,0 27.823391,-26.50929,0 27.828541,-26.541851,0 27.822189,-26.542311,0 27.811375,-26.533712,0 27.817554,-26.494541,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
22,null,null,Vosloorus1 - HIGH RISK AREA,#Style634853,"28.187141,-26.321881,0 28.177527,-26.328959,0 28.183191,-26.356497,0 28.181992,-26.372647,0 28.180789,-26.388947,0 28.175982,-26.398326,0 28.163623,-26.388947,0 28.120021,-26.364034,0 28.140277,-26.330653,0 28.142852,-26.321114,0 28.145769,-26.295107,0 28.154181,-26.294031,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
23,null,null,Vosloorus2 - HIGH RISK AREA,#Style634854,"28.183537,-26.346343,0 28.186796,-26.354959,0 28.185596,-26.388794,0 28.175639,-26.410167,0 28.178215,-26.415393,0 28.172892,-26.42554,0 28.184052,-26.428,0 28.235721,-26.368186,0 28.219929,-26.343575,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
24,null,null,Vosloorus3 - HIGH RISK AREA,#Style634855,"28.189886,-26.324037,0 28.181132,-26.33019,0 28.183021,-26.34373,0 28.203105,-26.341729,0 28.215122,-26.340807,0 28.193321,-26.323882,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
25,null,null,Mapleton - HIGH RISK AREA,#Style634856,"28.203061,-26.312266,0 28.194866,-26.318729,0 28.194952,-26.321652,0 28.211473,-26.333729,0 28.212934,-26.326153,0 28.216324,-26.321421,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
26,null,null,Kwatema1 - HIGH RISK AREA,#Style634857,"28.393478,-26.278255,0 28.386182,-26.289414,0 28.381633,-26.303571,0 28.405923,-26.32196,0 28.415707,-26.326035,0 28.423345,-26.319575,0 28.425149,-26.309726,0 28.414418,-26.284334,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
27,null,null,Kwathema2 - HIGH RISK AREA,#Style634858,"28.381032,-26.305188,0 28.37554,-26.32796,0 28.371849,-26.342499,0 28.401544,-26.352498,0 28.409441,-26.332574,0 28.423345,-26.323191,0 28.425063,-26.30965,0 28.411587,-26.303802,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
28,null,null,Tsakane - HIGH RISK AREA,#Style634859,"28.349018,-26.337422,0 28.346958,-26.377568,0 28.372879,-26.38341,0 28.405836,-26.354651,0 28.378371,-26.335267,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
29,null,null,Duduza - HIGH RISK AREA,#Style634860,"28.378371,-26.392792,0 28.379228,-26.393944,0 28.388756,-26.395444,0 28.404551,-26.399788,0 28.425491,-26.380721,0 28.409441,-26.360727,0 28.374424,-26.389562,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
30,null,null,Daveyton - HIGH RISK AREA,#Style634861,"28.398713,-26.14627,0 28.399487,-26.164605,0 28.406265,-26.163602,0 28.425837,-26.155977,0 28.436737,-26.143571,0 28.458708,-26.134018,0 28.441973,-26.115061,0 28.419056,-26.113289,0",null,null,null,null,null,2025-10-22 02:54:53.837736+00,2025-10-22 02:54:53.837736+00,warehouse,null,null,null,null,null,null,null,null,null,null,null,null,null
